用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息
1730077315,黄晓明,m,,北京 东城区,,,,,4243,61468647,740,少说话，多做事！我不是最好的，但我要做最努力的......（相关工作事宜联系黄晓明工作室：3370459141@qq.com）,https://m.weibo.cn/u/1730077315?uid=1730077315&luicode=10000011&lfid=1005051730077315,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/001T5e8Ply8gmr3m41ysij60u00u076302.jpg?KID=imgbed,tva&Expires=1617991820&ssig=2mOBpQUFEj",https://wx1.sinaimg.cn/orj480/001T5e8Ply8gmr3m41ysij60u00u076302.jpg,48,7,True,0,演员，明天爱心基金发起人
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618431924&ssig=4GDzksC%2BAk",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618431976&ssig=rRUH%2Fj8jFZ",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618431990&ssig=OxVXcY1EUX",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618432033&ssig=SdifGy0Lsr",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618432448&ssig=uBoA2LAtQL",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618432658&ssig=K%2FbVaVzQM3",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618432831&ssig=MxzU6QZZg5",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618432879&ssig=w65rhm1z2W",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618434270&ssig=Tpam6QMhWl",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
5782957659,窦永厚,m,,山西 太原,,,,,12,20,10,,https://m.weibo.cn/u/5782957659?uid=5782957659&luicode=10000011&lfid=1005055782957659,"https://tva4.sinaimg.cn/crop.0.0.100.100.180/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg?KID=imgbed,tva&Expires=1618495813&ssig=OAXFni%2FFOR",https://ww4.sinaimg.cn/orj480/006jmHsDjw8eyotyyc6iqj302s02sa9w.jpg,4,0,False,-1,
